Ranking,Nome,Dominio_BR,Dominio_COM,Significado,Nota_Memorabilidade,Nota_Sonoridade,Nota_Branding,Nota_Total,Diferencial_vs_Centrimob
1,Centrimob,centrimob.com.br,centrimob.com,Centro imobiliario,8,9,8,25,BASE - JA REGISTRADO
2,Centrimo,centrimo.com.br,centrimo.com,Centro imo (ultra curto),9,9,9,27,+2 - Mais curto e moderno
3,Centrimov,centrimov.com.br,centrimov.com,Centro movimento,9,9,9,27,+2 - Dinamico movimento
4,Centrimovel,centrimovel.com.br,centrimovel.com,Centro imovel completo,8,8,8,24,-1 - Mais longo mas claro
5,Centrium,centrium.com.br,centrium.com,Centro latino premium,9,10,10,29,+4 - Latino elegante como forum/atrium
6,Centrio,centrio.com.br,centrio.com,Centro IO tech,9,9,9,27,+2 - Tech moderno
7,Centrify,centrify.com.br,centrify.com,Centralizar verbo,8,8,9,25,0 - Tech mas generico
8,Centriq,centriq.com.br,centriq.com,Centro Q inteligente,9,9,9,27,+2 - IQ inteligencia
9,Centrix,centrix.com.br,centrix.com,Centro X tech,9,9,9,27,+2 - X forte tech
10,Centrixx,centrixx.com.br,centrixx.com,Centro XX duplicado,8,9,8,25,0 - Duplicacao forte
11,Centryx,centryx.com.br,centryx.com,Centro YX tech maximo,9,10,9,28,+3 - YX premium tech
12,Centriz,centriz.com.br,centriz.com,Centro Z energia,9,9,9,27,+2 - Z energetico
13,Centrizz,centrizz.com.br,centrizz.com,Centro ZZ duplicado,9,9,9,27,+2 - Duplo Z forte
14,Centrizo,centrizo.com.br,centrizo.com,Centro Z + O,8,9,8,25,0 - ZO interessante
15,Centrizy,centrizy.com.br,centrizy.com,Centro Z + Y,9,9,9,27,+2 - ZY moderno
16,Centria,centria.com.br,centria.com,Centro feminino A,9,9,9,27,+2 - Feminino elegante
17,Centrius,centrius.com.br,centrius.com,Centro latino masculino,9,9,10,28,+3 - Latino premium
18,Centriux,centriux.com.br,centriux.com,Centro UX experience,9,9,9,27,+2 - UX tech
19,Centriox,centriox.com.br,centriox.com,Centro IOX tech,8,9,9,26,+1 - IOX combinado
20,Centreon,centreon.com.br,centreon.com,Centro EON era,8,8,9,25,0 - Era/epoca
21,Centrios,centrios.com.br,centrios.com,Centros plural,8,8,8,24,-1 - Plural menos impacto
22,Centrivia,centrivia.com.br,centrivia.com,Centro + via caminho,10,10,10,30,+5 - VIA perfeito como Imovia
23,Centrivio,centrivio.com.br,centrivio.com,Centro via + IO,9,9,9,27,+2 - Via + tech
24,Centriway,centriway.com.br,centriway.com,Centro caminho way,9,9,9,27,+2 - Caminho ingles
25,Centripath,centripath.com.br,centripath.com,Centro caminho path,8,8,8,24,-1 - Path muito tech
26,Centrihub,centrihub.com.br,centrihub.com,Centro hub,8,8,8,24,-1 - Hub obvio demais
27,Centricore,centricore.com.br,centricore.com,Centro nucleo,8,8,9,25,0 - Core solido
28,Centribase,centribase.com.br,centribase.com,Centro base fundacao,8,8,8,24,-1 - Base muito literal
29,Centrinex,centrinex.com.br,centrinex.com,Centro nexus conexao,9,9,9,27,+2 - Nexus conexao
30,Centrilink,centrilink.com.br,centrilink.com,Centro link ligacao,8,7,7,22,-3 - Link muito generico
31,Centrispot,centrispot.com.br,centrispot.com,Centro spot ponto,9,9,9,27,+2 - Spot local
32,Centrizone,centrizone.com.br,centrizone.com,Centro zona area,9,9,9,27,+2 - Zone area
33,Centriplace,centriplace.com.br,centriplace.com,Centro place lugar,8,8,8,24,-1 - Place generico
34,Centriland,centriland.com.br,centriland.com,Centro land terra,9,9,9,27,+2 - Land terra
35,Centrilux,centrilux.com.br,centrilux.com,Centro luz premium,9,10,10,29,+4 - Lux premium elegante
36,Centriluxe,centriluxe.com.br,centriluxe.com,Centro luxo frances,9,10,10,29,+4 - Luxe frances chique
37,Centrirex,centrirex.com.br,centrirex.com,Centro rex rei,9,9,10,28,+3 - Rex rei premium
38,Centrigem,centrigem.com.br,centrigem.com,Centro gem joia,9,9,10,28,+3 - Gem joia preciosa
39,Centrimax,centrimax.com.br,centrimax.com,Centro max maximo,9,9,9,27,+2 - Max maximo
40,Centripex,centripex.com.br,centripex.com,Centro pex apex,9,9,9,27,+2 - Apex topo
41,Centritop,centritop.com.br,centritop.com,Centro top,9,9,9,27,+2 - Top direto
42,Centriwin,centriwin.com.br,centriwin.com,Centro win ganhar,9,9,9,27,+2 - Win vitoria
43,Centriace,centriace.com.br,centriace.com,Centro ace as,9,9,9,27,+2 - Ace excelencia
44,Centripro,centripro.com.br,centripro.com,Centro pro profissional,9,9,9,27,+2 - Pro profissional
45,Centribiz,centribiz.com.br,centribiz.com,Centro biz business,8,8,8,24,-1 - Biz muito casual
46,Centrifast,centrifast.com.br,centrifast.com,Centro fast rapido,8,8,8,24,-1 - Fast obvio
47,Centriswift,centriswift.com.br,centriswift.com,Centro swift veloz,9,9,9,27,+2 - Swift elegante rapido
48,Centrisnap,centrisnap.com.br,centrisnap.com,Centro snap instantaneo,9,10,9,28,+3 - Snap instantaneo
49,Centrizoom,centrizoom.com.br,centrizoom.com,Centro zoom foco,9,9,9,27,+2 - Zoom foco
50,Centriboost,centriboost.com.br,centriboost.com,Centro boost impulso,8,8,8,24,-1 - Boost longo
51,Centrivibe,centrivibe.com.br,centrivibe.com,Centro vibe energia,9,10,9,28,+3 - Vibe energia jovem
52,Centrivibes,centrivibes.com.br,centrivibes.com,Centro vibes plural,9,10,9,28,+3 - Vibes plural energia
53,Centrimojo,centrimojo.com.br,centrimojo.com,Centro mojo magia,9,10,9,28,+3 - Mojo magia sorte
54,Centrizest,centrizest.com.br,centrizest.com,Centro zest entusiasmo,9,9,9,27,+2 - Zest entusiasmo
55,Centriflow,centriflow.com.br,centriflow.com,Centro flow fluxo,9,9,9,27,+2 - Flow fluxo
56,Centrisync,centrisync.com.br,centrisync.com,Centro sync sincronizar,9,9,9,27,+2 - Sync sincronia
57,Centriwave,centriwave.com.br,centriwave.com,Centro wave onda,9,9,9,27,+2 - Wave onda nova
58,Centripulse,centripulse.com.br,centripulse.com,Centro pulse pulso,9,9,9,27,+2 - Pulse vida
59,Centriblaze,centriblaze.com.br,centriblaze.com,Centro blaze chama,9,10,9,28,+3 - Blaze energia fogo
60,Centriflare,centriflare.com.br,centriflare.com,Centro flare clarao,9,9,9,27,+2 - Flare destaque
61,Centriglow,centriglow.com.br,centriglow.com,Centro glow brilho,9,9,9,27,+2 - Glow brilho
62,Centrishine,centrishine.com.br,centrishine.com,Centro shine brilhar,9,9,9,27,+2 - Shine brilhar
63,Centribright,centribright.com.br,centribright.com,Centro bright claro,8,8,8,24,-1 - Bright longo
64,Centriclear,centriclear.com.br,centriclear.com,Centro clear limpo,9,9,9,27,+2 - Clear clareza
65,Centripure,centripure.com.br,centripure.com,Centro pure puro,9,9,10,28,+3 - Pure autenticidade
66,Centritrue,centritrue.com.br,centritrue.com,Centro true verdadeiro,9,9,10,28,+3 - True verdade
67,Centrireal,centrireal.com.br,centrireal.com,Centro real autentico,10,10,10,30,+5 - Real perfeito autenticidade
68,Centrisure,centrisure.com.br,centrisure.com,Centro sure certo,9,9,9,27,+2 - Sure certeza
69,Centrisolid,centrisolid.com.br,centrisolid.com,Centro solid solido,8,8,9,25,0 - Solid confiavel
70,Centrifirm,centrifirm.com.br,centrifirm.com,Centro firm firme,9,9,9,27,+2 - Firm estavel
71,Centriflex,centriflex.com.br,centriflex.com,Centro flex flexivel,9,9,9,27,+2 - Flex flexibilidade
72,Centrifocus,centrifocus.com.br,centrifocus.com,Centro focus foco,8,8,8,24,-1 - Focus obvio
73,Centrikey,centrikey.com.br,centrikey.com,Centro key chave,9,9,9,27,+2 - Key chave solucao
74,Centrivault,centrivault.com.br,centrivault.com,Centro vault cofre,8,8,9,25,0 - Vault seguranca
75,Centribeam,centribeam.com.br,centribeam.com,Centro beam raio,9,9,9,27,+2 - Beam raio rapido
76,Centrispark,centrispark.com.br,centrispark.com,Centro spark faisca,9,9,9,27,+2 - Spark inicio
77,Centriflair,centriflair.com.br,centriflair.com,Centro flair estilo,9,10,10,29,+4 - Flair estilo elegante
78,Centriclass,centriclass.com.br,centriclass.com,Centro class classe,9,9,10,28,+3 - Class premium
79,Centrielite,centrielite.com.br,centrielite.com,Centro elite,9,9,10,28,+3 - Elite topo
80,Centriprime,centriprime.com.br,centriprime.com,Centro prime premium,9,9,10,28,+3 - Prime primeira
81,Centrinoble,centrinoble.com.br,centrinoble.com,Centro noble nobre,9,9,10,28,+3 - Noble nobre
82,Centrifide,centrifide.com.br,centrifide.com,Centro fide fidelidade,9,9,10,28,+3 - Fide confianca latina
83,Centrident,centrident.com.br,centrident.com,Centro ident identidade,8,8,9,25,0 - Ident identidade
84,Centriver,centriver.com.br,centriver.com,Centro ver verdadeiro,9,9,10,28,+3 - Ver verificar
85,Centriverify,centriverify.com.br,centriverify.com,Centro verify verificar,8,8,9,25,0 - Verify longo
86,Centrivera,centrivera.com.br,centrivera.com,Centro vera verdadeiro,9,9,10,28,+3 - Vera verdade feminino
87,Centrauth,centrauth.com.br,centrauth.com,Centro auth autenticidade,8,7,9,24,-1 - Auth muito tech
88,Centrilegit,centrilegit.com.br,centrilegit.com,Centro legit legitimo,8,8,9,25,0 - Legit gíria jovem
89,Centrista,centrista.com.br,centrista.com,Centrista pessoa centro,7,7,7,21,-4 - Politico negativo
90,Centric,centric.com.br,centric.com,Centrico simples,9,9,9,27,+2 - Palavra real ingles
91,Centrica,centrica.com.br,centrica.com,Centrica feminino,9,9,9,27,+2 - Feminino elegante
92,Centrico,centrico.com.br,centrico.com,Centrico masculino,9,9,9,27,+2 - Masculino forte
93,Centralis,centralis.com.br,centralis.com,Centralis latino,9,9,10,28,+3 - Latino elegante
94,Centralis,centralis.com.br,centralis.com,Central latino,9,9,10,28,+3 - Latino premium
95,Centrax,centrax.com.br,centrax.com,Centro AX,9,9,9,27,+2 - AX tech
96,Centrex,centrex.com.br,centrex.com,Centro EX,9,9,9,27,+2 - EX tech
97,Centrox,centrox.com.br,centrox.com,Centro OX,9,9,9,27,+2 - OX forte
98,Centrux,centrux.com.br,centrux.com,Centro UX,9,9,9,27,+2 - UX experience
99,Centry,centry.com.br,centry.com,Centro Y curto,9,10,9,28,+3 - Ultra curto Y
100,Centryz,centryz.com.br,centryz.com,Centro YZ,9,10,9,28,+3 - YZ tech maximo

TOP_10_ABSOLUTO_CENTRI:
1. Centrivia (30) - Via perfeita
2. Centrireal (30) - Real autentico
3. Centrium (29) - Latino forum/atrium
4. Centrilux (29) - Luz premium
5. Centriluxe (29) - Luxo frances
6. Centriflair (29) - Estilo elegante
7. Centryx (28) - YX tech maximo
8. Centrius (28) - Latino masculino premium
9. Centrisnap (28) - Snap instantaneo
10. Centrivibe (28) - Vibe energia

MELHORES_POR_CATEGORIA:
Premium_Luxo: Centrium Centrilux Centriluxe Centriflair Centrirex Centrigem
Autenticidade: Centrireal Centritrue Centripure Centrifide Centrivera
Tech_Moderno: Centryx Centrix Centriq Centrisnap Centrio
Energia_Jovem: Centrivibe Centrivibes Centrimojo Centriblaze Centrizz
Elegancia: Centrium Centriluxe Centriflair Centralis Centrinoble
Curto_Forte: Centrimo Centrio Centry Centrix Centriz
